Year,Population
1990,637685
1991,635753
1992,638223
1993,641216
1994,644804
1995,647832
1996,650382
1997,649716
1998,647532
1999,644259
2000,642023
2001,639062
2002,638168
2003,638817
2004,644705
2005,646089
2006,649422
2007,652822
2008,657569
2009,664968
2010,674499
2011,685326
2012,702265
2013,723626
2014,740040
2016,672591
2017,672591
