Year,Population,GDP
1870,2405
1880,36909
1890,190983
1900,319146
1910,577056
1920,646872
1930,680845
1940,641935
1950,619636
1960,632446
1970,617761
1980,652717
1990,638800
2000,641298
2001,636225
2002,633210
2003,631680
2004,635480
2005,634528,26783
2006,636019,27868
2007,637534,28781
2008,640525,31604
2009,645903,32364
2010,674344,35027
2011,684867,39067
2012,701345,47543
2013,723393,48528
